Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
34001 Abarca de Campos;;;Renta bruta media por persona;2022;18.382
34001 Abarca de Campos;;;Renta bruta media por persona;2021;17.695
34001 Abarca de Campos;;;Renta bruta media por persona;2020;16.460
34001 Abarca de Campos;;;Renta bruta media por persona;2019;.
34001 Abarca de Campos;;;Renta bruta media por persona;2018;.
34001 Abarca de Campos;;;Renta bruta media por persona;2017;.
34001 Abarca de Campos;;;Renta bruta media por persona;2016;.
34001 Abarca de Campos;;;Renta bruta media por persona;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: salario;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: pensiones;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: prestaciones por desempleo;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: otras prestaciones;2015;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2022;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2021;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2020;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2019;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2018;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2017;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2016;.
34001 Abarca de Campos;;;Fuente de ingreso: otros ingresos;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2022;18.382
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2021;17.695
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2020;16.460
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: salario;2016;.
