Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
40001 Abades;;;Renta bruta media por persona;2022;15.040
40001 Abades;;;Renta bruta media por persona;2021;14.590
40001 Abades;;;Renta bruta media por persona;2020;13.761
40001 Abades;;;Renta bruta media por persona;2019;13.091
40001 Abades;;;Renta bruta media por persona;2018;12.155
40001 Abades;;;Renta bruta media por persona;2017;11.827
40001 Abades;;;Renta bruta media por persona;2016;11.114
40001 Abades;;;Renta bruta media por persona;2015;11.169
40001 Abades;;;Fuente de ingreso: salario;2022;9.633
40001 Abades;;;Fuente de ingreso: salario;2021;9.126
40001 Abades;;;Fuente de ingreso: salario;2020;8.196
40001 Abades;;;Fuente de ingreso: salario;2019;7.972
40001 Abades;;;Fuente de ingreso: salario;2018;7.150
40001 Abades;;;Fuente de ingreso: salario;2017;6.871
40001 Abades;;;Fuente de ingreso: salario;2016;6.699
40001 Abades;;;Fuente de ingreso: salario;2015;6.464
40001 Abades;;;Fuente de ingreso: pensiones;2022;2.834
40001 Abades;;;Fuente de ingreso: pensiones;2021;2.972
40001 Abades;;;Fuente de ingreso: pensiones;2020;2.921
40001 Abades;;;Fuente de ingreso: pensiones;2019;2.648
40001 Abades;;;Fuente de ingreso: pensiones;2018;2.617
40001 Abades;;;Fuente de ingreso: pensiones;2017;2.677
40001 Abades;;;Fuente de ingreso: pensiones;2016;2.474
40001 Abades;;;Fuente de ingreso: pensiones;2015;2.468
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2022;177
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2021;376
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2020;493
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2019;151
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2018;155
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2017;162
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2016;159
40001 Abades;;;Fuente de ingreso: prestaciones por desempleo;2015;230
40001 Abades;;;Fuente de ingreso: otras prestaciones;2022;530
40001 Abades;;;Fuente de ingreso: otras prestaciones;2021;499
40001 Abades;;;Fuente de ingreso: otras prestaciones;2020;395
40001 Abades;;;Fuente de ingreso: otras prestaciones;2019;478
40001 Abades;;;Fuente de ingreso: otras prestaciones;2018;514
40001 Abades;;;Fuente de ingreso: otras prestaciones;2017;349
40001 Abades;;;Fuente de ingreso: otras prestaciones;2016;297
40001 Abades;;;Fuente de ingreso: otras prestaciones;2015;338
40001 Abades;;;Fuente de ingreso: otros ingresos;2022;1.867
40001 Abades;;;Fuente de ingreso: otros ingresos;2021;1.618
40001 Abades;;;Fuente de ingreso: otros ingresos;2020;1.756
40001 Abades;;;Fuente de ingreso: otros ingresos;2019;1.842
40001 Abades;;;Fuente de ingreso: otros ingresos;2018;1.719
40001 Abades;;;Fuente de ingreso: otros ingresos;2017;1.768
40001 Abades;;;Fuente de ingreso: otros ingresos;2016;1.486
40001 Abades;;;Fuente de ingreso: otros ingresos;2015;1.668
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2022;15.040
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2021;14.590
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2020;13.761
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2019;13.091
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2018;12.155
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2017;11.827
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2016;11.114
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2015;11.169
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2022;9.633
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2021;9.126
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2020;8.196
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2019;7.972
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2018;7.150
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2017;6.871
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2016;6.699
40001 Abades;4000101 Abades distrito 01;;Fuente de ingreso: salario;2015;6.464
