Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Castilla y León;;;Índice de Gini;2022;29,6
Castilla y León;;;Distribución de la renta P80/P20;2022;2,6
Castilla y León;Ávila;;Índice de Gini;2022;31,0
Castilla y León;Ávila;;Distribución de la renta P80/P20;2022;2,7
Castilla y León;Burgos;;Índice de Gini;2022;28,7
Castilla y León;Burgos;;Distribución de la renta P80/P20;2022;2,4
Castilla y León;León;;Índice de Gini;2022;29,0
Castilla y León;León;;Distribución de la renta P80/P20;2022;2,6
Castilla y León;Palencia;;Índice de Gini;2022;28,2
Castilla y León;Palencia;;Distribución de la renta P80/P20;2022;2,4
Castilla y León;Salamanca;;Índice de Gini;2022;30,8
Castilla y León;Salamanca;;Distribución de la renta P80/P20;2022;2,7
Castilla y León;Segovia;;Índice de Gini;2022;29,5
Castilla y León;Segovia;;Distribución de la renta P80/P20;2022;2,6
Castilla y León;Soria;;Índice de Gini;2022;28,7
Castilla y León;Soria;;Distribución de la renta P80/P20;2022;2,5
Castilla y León;Valladolid;;Índice de Gini;2022;29,4
Castilla y León;Valladolid;;Distribución de la renta P80/P20;2022;2,5
Castilla y León;Zamora;;Índice de Gini;2022;29,7
Castilla y León;Zamora;;Distribución de la renta P80/P20;2022;2,5
